number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school
69,Yemen,0,0,0,,1918.0,,2.5,17.2,0.6
70,Austria,1,1,1,5939.0,13327.0,3.6,0.4,23.4,8.0
71,Belgium,1,1,1,6789.0,14290.0,3.5,0.5,23.4,9.3
72,Cyprus,0,0,0,2948.0,,5.2,,31.2,8.2
73,Denmark,1,1,1,8551.0,16491.0,3.2,0.6,26.6,10.7
74,Finland,1,1,1,6527.0,13779.0,3.7,0.7,36.9,11.5
75,France,1,1,1,7215.0,15027.0,3.9,1.0,26.2,8.9
76,"Germany, W.",1,1,1,7695.0,15297.0,3.3,0.5,28.5,8.4
77,Greece,1,1,1,2257.0,6868.0,5.1,0.7,29.3,7.9
78,Iceland,0,0,0,8091.0,,3.9,,29.0,10.2
79,Ireland,1,1,1,4411.0,8675.0,3.8,1.1,25.9,11.4
80,Italy,1,1,1,4913.0,11082.0,3.8,0.6,24.9,7.1
81,Luxembourg,0,0,0,9015.0,,2.8,,26.9,5.0
82,Malta,0,0,0,2293.0,,6.0,,30.9,7.1
83,Netherlands,1,1,1,7689.0,13177.0,3.6,1.4,25.8,10.7
84,Norway,1,1,1,7938.0,19723.0,4.3,0.7,29.1,10.0
85,Portugal,1,1,1,2272.0,5827.0,4.4,0.6,22.5,5.8
86,Spain,1,1,1,3766.0,9903.0,4.9,1.0,17.7,8.0
87,Sweden,1,1,1,7802.0,15237.0,3.1,0.4,24.5,7.9
88,Switzerland,1,1,1,10308.0,15881.0,2.5,0.8,29.7,4.8
89,Turkey,1,1,1,2274.0,4444.0,5.2,2.5,20.2,5.5
90,United Kingdom,1,1,1,7634.0,13331.0,2.5,0.3,18.4,8.9
91,Barbados,0,0,0,3165.0,,4.8,,19.5,12.1
92,Canada,1,1,1,10286.0,17935.0,4.2,2.0,23.3,10.6
93,Costa Rica,1,1,0,3360.0,4492.0,4.7,3.5,14.7,7.0
94,Dominican Rep.,1,1,0,1939.0,3308.0,5.1,2.9,17.1,5.8
95,El Salvador,1,1,0,2042.0,1997.0,3.3,3.3,8.0,3.9
96,Guatemala,1,1,0,2481.0,3034.0,3.9,3.1,8.8,2.4
97,Haiti,1,1,0,1096.0,1237.0,1.8,1.3,7.1,1.9
98,Honduras,1,1,0,1430.0,1822.0,4.0,3.1,13.8,3.7
99,Jamaica,1,1,0,2726.0,3080.0,2.1,1.6,20.6,11.2
100,Mexico,1,1,0,4229.0,7380.0,5.5,3.3,19.5,6.6
101,Nicaragua,1,1,0,3195.0,3978.0,4.1,3.3,14.5,5.8
102,Panama,1,1,0,2423.0,5021.0,5.9,3.0,26.1,11.6
103,Trinidad and Tobago,1,1,0,9253.0,11285.0,2.7,1.9,20.4,8.8
104,United States,1,1,1,12362.0,18988.0,3.2,1.5,21.1,11.9
105,Argentina,1,1,0,4852.0,5533.0,2.1,1.5,25.3,5.0
106,Bolivia,1,1,0,1618.0,2055.0,3.3,2.4,13.3,4.9
107,Brazil,1,1,0,1842.0,5563.0,7.3,2.9,23.2,4.7
108,Chile,1,1,0,5189.0,5533.0,2.6,2.3,29.7,7.7
109,Colombia,1,1,0,2672.0,4405.0,5.0,3.0,18.0,6.1
110,Ecuador,1,1,0,2198.0,4504.0,5.7,2.8,24.4,7.2
111,Guyana,0,0,0,2761.0,,1.1,,32.4,11.7
112,Paraguay,1,1,0,1951.0,3914.0,5.5,2.7,11.7,4.4
113,Peru,1,1,0,3310.0,3775.0,3.5,2.9,12.0,8.0
114,Surinam,0,0,0,3226.0,,4.5,,19.4,8.1
115,Uruguay,1,1,0,5119.0,5495.0,0.9,0.6,11.8,7.0
116,Venezuela,1,1,0,10367.0,6336.0,1.9,3.8,11.4,7.0
117,Australia,1,1,1,8440.0,13409.0,3.8,2.0,31.5,9.8
118,Fiji,0,0,0,3634.0,,4.2,,20.6,8.1
119,Indonesia,1,1,0,879.0,2159.0,5.5,1.9,13.9,4.1
120,New Zealand,1,1,1,9523.0,12308.0,2.7,1.7,22.5,11.9
121,Papua New Guinea,1,0,0,1781.0,2544.0,3.5,2.1,16.2,1.5
